103.1.70.66; 103.1.70.66; 5.2999,100.2605; Bayan Lepas; Pulau Pinang; MY
107.77.76.45; 107.77.76.45; 38.0000,-97.0000; None; None; US
76.97.203.66; c-76-97-203-66.hsd1.ga.comcast.net; 34.2281,-84.1780; Cumming; Georgia; US
96.255.7.241; pool-96-255-7-241.washdc.fios.verizon.net; 38.9827,-77.3401; Reston; Virginia; US
75.129.145.80; 75-129-145-80.dhcp.fdul.wi.charter.com; 43.4588,-88.8052; Beaver Dam; Wisconsin; US
72.177.2.30; cpe-72-177-2-30.austin.res.rr.com; 30.4000,-97.7528; Austin; Texas; US
89.133.242.148; catv-89-133-242-148.catv.broadband.hu; 47.5000,19.0833; Budapest; Budapest; HU
50.4.231.21; d4-50-21-231.evv.wideopenwest.com; 40.1832,-82.9954; Lewis Center; Ohio; US
66.73.102.234; 66.73.102.234; 42.3684,-83.3720; Livonia; Michigan; US
98.122.125.75; cpe-098-122-125-075.sc.res.rr.com; 33.6985,-78.9032; Myrtle Beach; South Carolina; US
129.79.35.119; nibbler.dlib.indiana.edu; 39.2499,-86.4555; Bloomington; Indiana; US
204.184.66.245; bear.k12.mo.us; 38.8817,-92.4020; Columbia; Missouri; US
24.246.141.63; 24.246.141.63; 35.3621,-82.5082; Hendersonville; North Carolina; US
75.61.71.90; adsl-75-61-71-90.dsl.pltn13.sbcglobal.net; 37.7749,-122.4194; San Francisco; California; US
109.76.101.207; 109.76.101.207; 53.0000,-8.0000; None; None; IE
67.37.103.66; 67.37.103.66; 43.4588,-88.8052; Beaver Dam; Wisconsin; US
70.190.61.161; ip70-190-61-161.ph.ph.cox.net; 33.3776,-112.3874; Goodyear; Arizona; US
68.117.29.206; 68-117-29-206.static.fdul.wi.charter.com; 44.7916,-87.4670; Sturgeon Bay; Wisconsin; US
66.188.108.74; 66-188-108-74.static.ftbg.wi.charter.com; 42.7130,-88.5429; Elkhorn; Wisconsin; US
64.207.252.254; 64.207.252.254; 36.0990,-95.8891; Tulsa; Oklahoma; US
66.249.69.248; crawl-66-249-69-248.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
167.73.110.8; 167.73.110.8; 42.9634,-85.6681; Grand Rapids; Michigan; US
75.22.100.101; adsl-75-22-100-101.dsl.bumttx.sbcglobal.net; 40.0989,-83.1615; Dublin; Ohio; US
192.168.1.8; srinivasans-mbp.home; ; None; None; None
192.168.1.2; seshanfmilyipad.home; ; None; None; None
142.177.179.190; sydnns0114w-142177179190.dhcp-dynamic.fibreop.ns.bellaliant.net; 46.2397,-60.0998; North Sydney; Nova Scotia; CA
76.100.16.82; c-76-100-16-82.hsd1.va.comcast.net; 38.8115,-77.1285; Alexandria; Virginia; US
76.123.108.2; c-76-123-108-2.hsd1.fl.comcast.net; 30.2793,-81.5851; Jacksonville; Florida; US
75.51.192.55; 75-51-192-55.lightspeed.sbndin.sbcglobal.net; 41.7350,-86.1229; Granger; Indiana; US
23.243.255.216; cpe-23-243-255-216.socal.res.rr.com; 34.3667,-118.4775; Newhall; California; US
192.168.1.10; ashas-iphone.home; ; None; None; None
166.137.244.35; mobile-166-137-244-035.mycingular.net; 38.0000,-97.0000; None; None; US
207.46.13.0; msnbot-207-46-13-0.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
207.46.13.48; msnbot-207-46-13-48.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
157.55.39.9; msnbot-157-55-39-9.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
207.46.13.106; msnbot-207-46-13-106.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
157.55.39.7; msnbot-157-55-39-7.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
66.249.65.54; crawl-66-249-65-54.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.148; crawl-66-249-65-148.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.62; crawl-66-249-65-62.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
107.1.175.242; 107-1-175-242-ip-static.hfc.comcastbusiness.net; 42.0562,-87.7011; Evanston; Illinois; US
23.235.227.106; 23.235.227.106; 33.4357,-111.9171; Tempe; Arizona; US
217.149.202.58; 58-202.avo-nm.internl.net; 52.5000,5.7500; None; None; NL
77.3.95.246; krlh-4d035ff6.pool.mediaways.net; 48.4765,7.9438; Offenburg; Baden-Wurttemberg; DE
192.107.141.133; t116.nat.austinisd.org; 30.3660,-97.6437; Austin; Texas; US
216.125.238.147; 216.125.238.147; 40.5282,-88.9801; Normal; Illinois; US
108.64.97.86; 108-64-97-86.lightspeed.gnvlsc.sbcglobal.net; 35.0768,-82.4361; Travelers Rest; South Carolina; US
108.48.66.50; pool-108-48-66-50.washdc.fios.verizon.net; 38.6911,-77.2060; Lorton; Virginia; US
165.161.7.27; bc0.palmbeach.k12.fl.us; 26.6633,-80.1284; West Palm Beach; Florida; US
74.99.129.94; pool-74-99-129-94.hrbgpa.east.verizon.net; 40.1750,-76.3078; Lititz; Pennsylvania; US
130.164.62.76; 130.164.62.76; 30.4000,-97.7528; Austin; Texas; US
165.204.84.1; 165.204.84.1; 30.2672,-97.7431; Austin; Texas; US
192.55.55.41; 192.55.55.41; 37.3541,-121.9552; Santa Clara; California; US
192.55.54.40; 192.55.54.40; 37.3541,-121.9552; Santa Clara; California; US
192.55.54.39; fmdmzpr04-ext.fm.intel.com; 37.3541,-121.9552; Santa Clara; California; US
75.67.242.100; c-75-67-242-100.hsd1.nh.comcast.net; 42.7618,-71.4119; Hudson; New Hampshire; US
216.57.139.162; 216.57.139.162; 42.4473,-71.2245; Lexington; Massachusetts; US
66.249.67.46; crawl-66-249-67-46.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.54; crawl-66-249-67-54.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
84.136.172.231; p5488ace7.dip0.t-ipconnect.de; 52.3833,7.7167; Recke; Nordrhein-Westfalen; DE
207.170.206.82; feinet.feico.com; 45.5848,-122.9117; Hillsboro; Oregon; US
70.97.216.114; 70.97.216.114; 44.7578,-93.3636; Savage; Minnesota; US
67.61.49.132; 67-61-49-132.cpe.cableone.net; 43.6121,-116.3915; Meridian; Idaho; US
92.242.140.21; cpe-76-92-66-45.ma.res.rr.com; 51.5000,-0.1300; None; None; GB
66.249.67.62; crawl-66-249-67-62.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
24.152.166.116; user-0c9h9jk.cable.mindspring.com; 32.9954,-117.0753; San Diego; California; US
66.249.67.1; crawl-66-249-67-1.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
192.55.54.37; fmdmzpr02-ext.fm.intel.com; 37.3541,-121.9552; Santa Clara; California; US
167.222.220.6; 167.222.220.6; 40.4344,-80.0248; Pittsburgh; Pennsylvania; US
66.249.69.54; crawl-66-249-69-54.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
192.55.55.36; fmdmzpr01-ext.fm.intel.com; 37.3541,-121.9552; Santa Clara; California; US
134.134.137.74; jfdmzpr05-ext.jf.intel.com; 45.5234,-122.6762; None; Oregon; US
134.134.139.76; 134.134.139.76; 37.3541,-121.9552; Santa Clara; California; US
192.55.54.42; 192.55.54.42; 37.3541,-121.9552; Santa Clara; California; US
216.246.140.252; d-216-246-140-252.cpe.metrocast.net; 43.3281,-70.9384; Rochester; New Hampshire; US
54.227.49.251; ec2-54-227-49-251.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
185.20.4.220; sft088.sysms.net; 51.5000,-0.1300; None; None; GB
173.252.74.118; 173.252.74.118; 40.7212,-80.9480; Kensington; Ohio; US
50.17.151.94; ec2-50-17-151-94.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
185.20.4.143; sft042.sysms.net; 51.5000,-0.1300; None; None; GB
65.52.242.216; 65.52.242.216; 47.6801,-122.1206; Redmond; Washington; US
74.6.254.137; h077.crawl.yahoo.net; 37.4249,-122.0074; Sunnyvale; California; US
54.176.232.239; ec2-54-176-232-239.us-west-1.compute.amazonaws.com; 37.7749,-122.4194; San Francisco; California; US
50.18.102.132; ec2-50-18-102-132.us-west-1.compute.amazonaws.com; 37.3394,-121.8950; San Jose; California; US
199.16.156.124; 199.16.156.124; 37.7697,-122.3933; San Francisco; California; US
199.16.156.125; 199.16.156.125; 37.7697,-122.3933; San Francisco; California; US
94.23.40.23; ns369020.ip-94-23-40.eu; 48.8600,2.3500; None; None; FR
54.196.191.150; ec2-54-196-191-150.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
78.46.85.133; static.133.85.46.78.clients.your-server.de; 51.0000,9.0000; None; None; DE
74.112.131.242; cc002.topsy.com; 36.9512,-121.7240; Watsonville; California; US
37.59.16.155; ns231140.ovh.net; 48.8600,2.3500; None; None; FR
71.191.57.189; pool-71-191-57-189.washdc.fios.verizon.net; 39.0138,-77.3987; Sterling; Virginia; US
23.96.208.137; 23.96.208.137; 47.6801,-122.1206; Redmond; Washington; US
12.238.61.12; 12.238.61.12; 38.0000,-97.0000; None; None; US
63.155.39.132; 63-155-39-132.bois.qwest.net; 43.6135,-116.2035; Boise; Idaho; US
66.249.64.78; crawl-66-249-64-78.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
86.4.163.48; cpc6-sotn8-2-0-cust47.15-1.cable.virginm.net; 51.0741,-1.3360; Winchester; Hampshire; GB
50.17.69.56; ec2-50-17-69-56.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
146.90.55.159; 159.55.90.146.dyn.plus.net; 51.5000,-0.1300; None; None; GB
70.211.67.143; 143.sub-70-211-67.myvzw.com; 38.5816,-121.4944; Sacramento; California; US
184.13.161.43; 184-13-161-43.dr02.clbg.wv.frontiernet.net; 39.2844,-80.2307; Bridgeport; West Virginia; US
96.247.147.16; pool-96-247-147-16.altnpa.east.verizon.net; 40.3267,-78.9220; Johnstown; Pennsylvania; US
67.240.102.167; cpe-67-240-102-167.nycap.res.rr.com; 43.0056,-73.8628; Ballston Spa; New York; US
67.163.208.207; c-67-163-208-207.hsd1.pa.comcast.net; 40.4406,-79.9959; Pittsburgh; Pennsylvania; US
75.173.182.129; 75-173-182-129.dvnp.qwest.net; 41.4046,-91.0321; Muscatine; Iowa; US
68.10.255.54; ip68-10-255-54.hr.hr.cox.net; 36.7028,-76.3729; Chesapeake; Virginia; US
69.164.231.198; 69.164.231.198; 39.7728,-79.4596; Markleysburg; Pennsylvania; US
72.23.91.184; dynamic-acs-72-23-91-184.zoominternet.net; 40.6990,-80.0334; Mars; Pennsylvania; US
54.237.43.151; ec2-54-237-43-151.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
192.104.24.223; 192.104.24.223; 40.2713,-80.1702; Canonsburg; Pennsylvania; US
96.247.151.163; pool-96-247-151-163.altnpa.east.verizon.net; 40.3267,-78.9220; Johnstown; Pennsylvania; US
67.171.86.222; c-67-171-86-222.hsd1.pa.comcast.net; 40.1582,-80.2553; Washington; Pennsylvania; US
66.219.210.176; 66.219.210.176.provo.dynamic.broadweavenetworks.net; 40.6092,-111.8819; Midvale; Utah; US
67.165.35.234; c-67-165-35-234.hsd1.pa.comcast.net; 40.5465,-80.0525; Pittsburgh; Pennsylvania; US
75.173.176.79; 75-173-176-79.dvnp.qwest.net; 41.5236,-90.5776; Davenport; Iowa; US
70.31.15.44; bas5-toronto47-1176440620.dsl.bell.ca; 43.7797,-79.4156; North York; Ontario; CA
67.172.25.238; c-67-172-25-238.hsd1.pa.comcast.net; 40.5728,-79.7248; New Kensington; Pennsylvania; US
66.249.79.54; crawl-66-249-79-54.googlebot.com; 37.4192,-122.0574; Mountain View; California; US
75.185.166.254; cpe-75-185-166-254.neo.res.rr.com; 41.3152,-81.4405; Twinsburg; Ohio; US
46.236.24.51; ded3123.sysms.net; 51.5000,-0.1300; None; None; GB
174.250.112.49; 49.sub-174-250-112.myvzw.com; 40.1751,-79.9284; Monongahela; Pennsylvania; US
71.206.204.254; c-71-206-204-254.hsd1.pa.comcast.net; 40.5728,-79.7248; New Kensington; Pennsylvania; US
70.56.15.55; 70-56-15-55.desm.qwest.net; 41.6267,-93.7122; Urbandale; Iowa; US
72.234.64.18; udp240631uds.hawaiiantel.net; 19.9305,-155.7967; Waikoloa; Hawaii; US
24.154.254.12; static-acs-24-154-254-12.zoominternet.net; 40.7097,-80.1049; Cranberry Twp; Pennsylvania; US
66.87.73.80; 66-87-73-80.pools.spcsdns.net; 38.0000,-97.0000; None; None; US
166.137.244.34; mobile-166-137-244-034.mycingular.net; 38.0000,-97.0000; None; None; US
107.222.125.249; 107-222-125-249.lightspeed.sndgca.sbcglobal.net; 32.9656,-117.1270; San Diego; California; US
80.245.161.150; mail.garifallou.gr; 37.9833,23.7333; Athens; Attiki; GR
70.208.140.121; 121.sub-70-208-140.myvzw.com; 37.6660,-77.5064; Glen Allen; Virginia; US
209.180.41.253; 209-180-41-253.dia.static.qwest.net; 42.0300,-93.5905; Ames; Iowa; US
174.55.180.120; c-174-55-180-120.hsd1.pa.comcast.net; 40.0475,-76.4844; Columbia; Pennsylvania; US
74.99.138.192; pool-74-99-138-192.hrbgpa.east.verizon.net; 40.3915,-76.4381; Lebanon; Pennsylvania; US
140.172.25.8; nat.nssl.noaa.gov; 39.9721,-105.2493; Boulder; Colorado; US
12.151.251.178; 12.151.251.178; 42.1275,-87.8290; Northbrook; Illinois; US
173.163.15.82; 173-163-15-82-cpennsylvania.hfc.comcastbusiness.net; 40.0754,-76.3189; Lancaster; Pennsylvania; US
66.249.83.87; google-proxy-66-249-83-87.google.com; 37.4192,-122.0574; Mountain View; California; US
70.197.70.226; 226.sub-70-197-70.myvzw.com; 34.0522,-118.2437; Los Angeles; California; US
76.4.151.231; fl-76-4-151-231.dhcp.embarqhsd.net; 28.7313,-81.5158; Apopka; Florida; US
99.177.70.213; 99-177-70-213.lightspeed.wpbhfl.sbcglobal.net; 26.6203,-80.0592; Lake Worth; Florida; US
50.89.221.102; 50-89-221-102.res.bhn.net; 28.1424,-80.7108; Melbourne; Florida; US
68.7.190.175; ip68-7-190-175.sd.sd.cox.net; 32.8405,-116.8797; El Cajon; California; US
173.76.76.170; pool-173-76-76-170.bstnma.fios.verizon.net; 42.2451,-71.1840; Dedham; Massachusetts; US
50.148.209.128; c-50-148-209-128.hsd1.mn.comcast.net; 44.8046,-93.1371; Saint Paul; Minnesota; US
24.45.38.64; ool-182d2640.dyn.optonline.net; 40.6501,-73.9496; Brooklyn; New York; US
50.205.70.164; 50-205-70-164-static.hfc.comcastbusiness.net; 42.6241,-71.3389; Lowell; Massachusetts; US
75.151.253.162; 75-151-253-162-pennsylvania.hfc.comcastbusiness.net; 40.4169,-79.8235; Turtle Creek; Pennsylvania; US
205.225.215.254; 205.225.215.254; 38.6262,-121.3248; Carmichael; California; US
150.70.97.124; 150-70-97-124.trendmicro.com; 35.6900,139.6900; None; None; JP
198.30.75.22; 75-22.cscc.edu; 39.9427,-82.8868; Columbus; Ohio; US
157.182.105.1; hsc-user.hsc.wvu.edu; 39.6456,-79.9433; Morgantown; West Virginia; US
66.249.67.156; crawl-66-249-67-156.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
24.53.81.110; dhcp-0-19-b9-55-dd-c1.cpe.xcountry.tv; 45.0917,-64.3599; Wolfville; Nova Scotia; CA
108.75.97.87; adsl-108-75-97-87.dsl.okcyok.sbcglobal.net; 35.8590,-97.4340; Guthrie; Oklahoma; US
50.151.45.141; c-50-151-45-141.hsd1.il.comcast.net; 40.4661,-88.9034; Bloomington; Illinois; US
108.32.76.10; pool-108-32-76-10.pitbpa.fios.verizon.net; 40.5465,-80.0525; Pittsburgh; Pennsylvania; US
157.55.39.248; msnbot-157-55-39-248.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
68.7.92.144; ip68-7-92-144.sd.sd.cox.net; 32.8405,-116.8797; El Cajon; California; US
207.46.13.100; msnbot-207-46-13-100.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
46.236.24.52; ded3124.sysms.net; 51.5000,-0.1300; None; None; GB
67.149.183.42; d149-67-42-183.col.wideopenwest.com; 40.1176,-83.1265; Dublin; Ohio; US
207.46.13.129; msnbot-207-46-13-129.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
66.249.79.46; crawl-66-249-79-46.googlebot.com; 37.4192,-122.0574; Mountain View; California; US
72.12.201.2; nat.wl.k12.in.us; 40.4763,-86.9571; West Lafayette; Indiana; US
46.236.24.54; ded3126.sysms.net; 51.5000,-0.1300; None; None; GB
95.145.46.157; 95.145.46.157; 51.2737,-1.0885; Basingstoke; Hampshire; GB
54.237.176.214; ec2-54-237-176-214.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
198.27.82.203; ns502522.ip-198-27-82.net; 45.5078,-73.5804; Montréal; Quebec; CA
74.112.131.245; cc005.topsy.com; 36.9512,-121.7240; Watsonville; California; US
54.238.238.39; ec2-54-238-238-39.ap-northeast-1.compute.amazonaws.com; 35.6850,139.7514; Tokyo; Tokyo; JP
23.253.162.123; 23.253.162.123; 29.4889,-98.3987; San Antonio; Texas; US
154.43.0.9; 154.43.0.9; 38.0000,-97.0000; None; None; US
65.52.244.38; 65.52.244.38; 47.6801,-122.1206; Redmond; Washington; US
54.249.153.102; ec2-54-249-153-102.ap-northeast-1.compute.amazonaws.com; 35.6850,139.7514; Tokyo; Tokyo; JP
74.112.131.241; cc001.topsy.com; 36.9512,-121.7240; Watsonville; California; US
23.253.211.219; 23.253.211.219; 29.4889,-98.3987; San Antonio; Texas; US
37.59.16.158; ns231143.ovh.net; 48.8600,2.3500; None; None; FR
150.70.97.127; 150-70-97-127.trendmicro.com; 35.6900,139.6900; None; None; JP
204.236.235.245; ec2-204-236-235-245.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
66.37.51.4; 66.37.51.4.nauticom.net; 39.4885,-88.3596; Mattoon; Illinois; US
195.154.233.224; 195-154-233-224.rev.poneytelecom.eu; 48.8600,2.3500; None; None; FR
54.80.210.31; ec2-54-80-210-31.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
84.136.166.30; p5488a61e.dip0.t-ipconnect.de; 52.2333,8.1667; Bissendorf; Niedersachsen; DE
166.137.101.145; akrmspsrvz7ts103-dmz.mycingular.net; 42.4645,-83.3763; None; Michigan; US
96.2.80.133; host-133-80-2-96.midco.net; 43.5190,-96.7322; Sioux Falls; South Dakota; US
54.167.114.173; ec2-54-167-114-173.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
148.87.67.202; inet-rmmc07-o.oracle.com; 37.5331,-122.2471; Redwood City; California; US
198.30.247.184; 198.30.247.184; 40.2827,-83.0559; Delaware; Ohio; US
198.60.169.252; 198.60.169.252; 33.4148,-111.9093; Tempe; Arizona; US
96.29.8.110; cpe-96-29-8-110.swo.res.rr.com; 38.2582,-85.4526; Louisville; Kentucky; US
128.2.197.220; nrec-014737.rec.ri.cmu.edu; 40.4439,-79.9561; Pittsburgh; Pennsylvania; US
96.247.155.196; pool-96-247-155-196.altnpa.east.verizon.net; 41.8737,-77.4508; Westfield; Pennsylvania; US
66.195.109.254; 66.195.109.254; 29.7633,-95.3633; Houston; Texas; US
174.126.192.59; 174-126-192-59.cpe.cableone.net; 46.8543,-96.8284; Fargo; North Dakota; US
172.3.85.165; adsl-172-3-85-165.dsl.stl2mo.sbcglobal.net; 38.7839,-90.4812; Saint Charles; Missouri; US
50.121.213.11; 50-121-213-11.drr03.clbg.wv.frontiernet.net; 39.3939,-80.2939; Shinnston; West Virginia; US
66.249.64.82; crawl-66-249-64-82.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
71.112.191.17; pool-71-112-191-17.pitbpa.fios.verizon.net; 40.4681,-79.9114; Pittsburgh; Pennsylvania; US
173.252.114.118; 173.252.114.118; 37.4590,-122.1781; Menlo Park; California; US
173.252.114.113; 173.252.114.113; 37.4590,-122.1781; Menlo Park; California; US
84.106.106.170; 546a6aaa.cm-12-3b.dynamic.ziggo.nl; 52.0833,4.3000; Den Haag; Zuid-Holland; NL
70.198.198.58; 58.sub-70-198-198.myvzw.com; 40.3010,-79.9242; Clairton; Pennsylvania; US
74.40.120.91; 74.40.120.91; 40.0582,-80.6362; Wheeling; West Virginia; US
108.32.25.192; pool-108-32-25-192.pitbpa.east.verizon.net; 40.4406,-79.9959; Pittsburgh; Pennsylvania; US
184.13.138.114; 184.13.138.114; 38.9143,-79.8407; Elkins; West Virginia; US
150.70.97.118; 150-70-97-118.trendmicro.com; 35.6900,139.6900; None; None; JP
71.84.216.198; 71-84-216-198.static.rvsd.ca.charter.com; 34.1839,-117.0835; Running Springs; California; US
162.206.18.145; 162-206-18-145.lightspeed.dybhfl.sbcglobal.net; 28.0170,-80.6736; Palm Bay; Florida; US
72.67.151.107; pool-72-67-151-107.lsanca.fios.verizon.net; 33.8743,-118.3721; Redondo Beach; California; US
66.91.12.153; cpe-66-91-12-153.hawaii.res.rr.com; 20.6989,-156.4430; Kihei; Hawaii; US
54.80.162.5; ec2-54-80-162-5.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
128.4.20.193; roaming-4-20-193.host.udel.edu; 39.5645,-75.5970; Newark; Delaware; US
192.168.1.14; hybrid.home; ; None; None; None
142.177.81.10; 142.177.81.10; 44.6500,-63.6000; Halifax; Nova Scotia; CA
151.201.136.162; static-151-201-136-162.pitt.east.verizon.net; 40.4426,-79.9770; Pittsburgh; Pennsylvania; US
100.40.4.138; static-100-40-4-138.prvdri.fios.verizon.net; 41.8195,-71.4107; Providence; Rhode Island; US
69.161.253.15; 69.161.253.15; 39.6456,-79.9433; Morgantown; West Virginia; US
70.211.72.245; 245.sub-70-211-72.myvzw.com; 38.5816,-121.4944; Sacramento; California; US
52.129.8.51; proxy-ash-51.dupont.com; 39.5645,-75.5970; Wilmington; Delaware; US
173.57.51.12; pool-173-57-51-12.dllstx.fios.verizon.net; 33.0952,-96.7524; Plano; Texas; US
100.43.91.12; spider-100-43-91-12.yandex.com; 37.4135,-122.1312; Palo Alto; California; US
157.55.39.98; msnbot-157-55-39-98.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
108.195.41.242; 108-195-41-242.lightspeed.stlsmo.sbcglobal.net; 37.7721,-90.3672; Farmington; Missouri; US
37.58.100.137; 37.58.100.137-static.reverse.softlayer.com; 52.5000,5.7500; None; None; NL
98.110.26.191; pool-98-110-26-191.cmdnnj.fios.verizon.net; 40.3305,-74.4179; Monroe Township; New Jersey; US
71.238.0.101; c-71-238-0-101.hsd1.mi.comcast.net; 42.2856,-83.4858; Canton; Michigan; US
66.249.64.86; crawl-66-249-64-86.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
96.28.154.115; cpe-96-28-154-115.swo.res.rr.com; 38.3439,-85.4299; Crestwood; Kentucky; US
173.11.28.22; 173-11-28-22-oregon.hfc.comcastbusiness.net; 45.5234,-122.6762; Portland; Oregon; US
68.118.231.36; 68-118-231-36.dhcp.oxfr.ma.charter.com; 42.3386,-71.8531; Holden; Massachusetts; US
24.110.114.6; user-0c6ssg6.cable.mindspring.com; 28.4913,-81.4097; Orlando; Florida; US
71.235.80.160; c-71-235-80-160.hsd1.ct.comcast.net; 41.3154,-72.8602; New Haven; Connecticut; US
108.32.29.93; pool-108-32-29-93.pitbpa.east.verizon.net; 40.4406,-79.9959; Pittsburgh; Pennsylvania; US
71.179.111.53; pool-71-179-111-53.bltmmd.fios.verizon.net; 39.0735,-76.5654; Severna Park; Maryland; US
207.46.13.78; msnbot-207-46-13-78.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
184.13.140.118; 184.13.140.118; 40.2438,-80.5983; Wellsburg; West Virginia; US
184.100.227.206; 184-100-227-206.ptld.qwest.net; 45.6387,-122.6615; Vancouver; Washington; US
66.220.156.117; 66.220.156.117; 40.7212,-80.9480; Kensington; Ohio; US
66.220.156.114; 66.220.156.114; 40.7212,-80.9480; Kensington; Ohio; US
66.220.156.115; 66.220.156.115; 40.7212,-80.9480; Kensington; Ohio; US
95.114.8.68; krlh-5f720844.pool.mediaways.net; 49.1203,8.5990; Bruchsal; Baden-Wurttemberg; DE
75.164.239.92; 75-164-239-92.ptld.qwest.net; 45.6387,-122.6615; Vancouver; Washington; US
66.220.156.116; 66.220.156.116; 40.7212,-80.9480; Kensington; Ohio; US
209.112.214.78; 209-112-214-78-rb1.nwc.dsl.dynamic.acsalaska.net; 60.9026,-148.9191; Girdwood; Alaska; US
173.252.112.112; 173.252.112.112; 37.4590,-122.1781; Menlo Park; California; US
108.248.112.134; 108-248-112-134.lightspeed.irvnca.sbcglobal.net; 34.0686,-118.0276; El Monte; California; US
166.137.101.164; akrmspsrvz7ts422-dmz.mycingular.net; 42.4645,-83.3763; None; Michigan; US
205.158.58.41; 205.158.58.41.ptr.us.xo.net; 38.0000,-97.0000; None; None; US
96.58.59.8; 96.58.59.8; 28.2059,-82.3201; Zephyrhills; Florida; US
99.113.208.155; 99-113-208-155.lightspeed.irvnca.sbcglobal.net; 34.0801,-118.0337; El Monte; California; US
198.30.252.2; 198.30.252.2; 40.0853,-82.9752; Columbus; Ohio; US
173.252.112.113; 173.252.112.113; 37.4590,-122.1781; Menlo Park; California; US
46.236.24.53; ded3125.sysms.net; 51.5000,-0.1300; None; None; GB
50.121.72.15; 50.121.72.15; 41.1306,-85.1289; Fort Wayne; Indiana; US
107.20.248.254; ec2-107-20-248-254.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
31.13.97.115; 31.13.97.115; 53.0000,-8.0000; None; None; IE
31.13.97.119; 31.13.97.119; 53.0000,-8.0000; None; None; IE
150.70.97.119; 150-70-97-119.trendmicro.com; 35.6900,139.6900; None; None; JP
173.36.240.174; sjc12-dmz-wsa-9.cisco.com; 37.4250,-121.9460; San Jose; California; US
71.195.168.201; c-71-195-168-201.hsd1.ca.comcast.net; 36.8874,-119.7697; Fresno; California; US
74.248.44.90; adsl-74-248-44-90.pfn.bellsouth.net; 30.6344,-85.5948; Chipley; Florida; US
87.119.165.174; 87-119-165-174.tll.elisa.ee; 59.0000,26.0000; None; None; EE
132.3.45.79; lackland-pxyw2e.afnoc.af.mil; 29.4886,-98.2735; Converse; Texas; US
144.15.255.227; nat01.medtronic.com; 45.0724,-93.1874; Saint Paul; Minnesota; US
75.144.69.50; 75-144-69-50-michigan.hfc.comcastbusiness.net; 42.2776,-83.7409; Ann Arbor; Michigan; US
174.236.227.194; 194.sub-174-236-227.myvzw.com; 38.8487,-76.9239; Suitland; Maryland; US
170.97.167.69; xpsh2104.hud.gov; 38.8933,-77.0146; Washington; District of Columbia; US
68.114.104.6; 68-114-104-6.dhcp.slid.la.charter.com; 30.2712,-89.7705; Slidell; Louisiana; US
184.169.203.101; ec2-184-169-203-101.us-west-1.compute.amazonaws.com; 37.3394,-121.8950; San Jose; California; US
23.91.190.97; host-23-91-190-97.dyn.295.ca; 43.6667,-79.4167; Toronto; Ontario; CA
37.58.100.187; 37.58.100.187-static.reverse.softlayer.com; 52.5000,5.7500; None; None; NL
70.199.0.181; 181.sub-70-199-0.myvzw.com; 40.6215,-79.1525; Indiana; Pennsylvania; US
95.128.90.194; cust-95-128-90-194.breedbanddelft.nl; 52.0186,4.3782; Delft; Zuid-Holland; NL
72.37.244.140; 1733ob.scansafe.net; 45.5222,-122.8593; Beaverton; Oregon; US
50.203.3.5; 50-203-3-5-static.hfc.comcastbusiness.net; 42.4255,-83.2533; Detroit; Michigan; US
207.210.40.17; 207.210.40.17; 43.2566,-79.8683; Hamilton; Ontario; CA
